traced_nodes,nl,trial,phase,time,pctTotal,source_run
128,64,1,Build group/location map,0.005031,0.0,run_20260717_215056
128,64,1,Distribute groups,0.004049,0.0,run_20260717_215056
128,64,1,Read events + write output,257.301759,99.99,run_20260717_215056
128,64,1,Other (overhead),0.00428,0.0,run_20260717_215056
128,64,1,Total,257.328438,100.0,run_20260717_215056
128,64,2,Read global definitions,0.015148,0.01,run_20260717_215056
128,64,2,Build group/location map,0.004715,0.0,run_20260717_215056
128,64,2,Distribute groups,0.004037,0.0,run_20260717_215056
128,64,2,Read events + write output,254.881876,99.99,run_20260717_215056
128,64,2,Other (overhead),0.004299,0.0,run_20260717_215056
128,64,2,Total,254.906038,100.0,run_20260717_215056
128,64,3,Read global definitions,0.015512,0.01,run_20260717_215056
128,64,3,Build group/location map,0.004687,0.0,run_20260717_215056
128,64,3,Distribute groups,0.004487,0.0,run_20260717_215056
128,64,3,Read events + write output,259.145377,99.99,run_20260717_215056
128,64,3,Other (overhead),0.00474,0.0,run_20260717_215056
128,64,3,Total,259.170316,100.0,run_20260717_215056
128,64,4,Read global definitions,0.015022,0.01,run_20260717_215056
128,64,4,Build group/location map,0.004677,0.0,run_20260717_215056
128,64,4,Distribute groups,0.004067,0.0,run_20260717_215056
128,64,4,Read events + write output,219.467941,99.99,run_20260717_215056
128,64,4,Other (overhead),0.004306,0.0,run_20260717_215056
128,64,4,Total,219.491946,100.0,run_20260717_215056
128,64,5,Read global definitions,0.015445,0.01,run_20260717_215056
128,64,5,Build group/location map,0.004793,0.0,run_20260717_215056
128,64,5,Distribute groups,0.004074,0.0,run_20260717_215056
128,64,5,Read events + write output,257.598581,99.99,run_20260717_215056
128,64,5,Other (overhead),0.004337,0.0,run_20260717_215056
128,64,5,Total,257.623156,100.0,run_20260717_215056
16,16,1,Read global definitions,0.002476,0.0,run_20260717_215056
16,16,1,Build group/location map,0.000353,0.0,run_20260717_215056
16,16,1,Distribute groups,0.000991,0.0,run_20260717_215056
16,16,1,Read events + write output,51.777086,99.99,run_20260717_215056
16,16,1,Other (overhead),0.001174,0.0,run_20260717_215056
16,16,1,Total,51.781089,100.0,run_20260717_215056
16,16,2,Read global definitions,0.002029,0.0,run_20260717_215056
16,16,2,Build group/location map,0.000356,0.0,run_20260717_215056
16,16,2,Distribute groups,0.000993,0.0,run_20260717_215056
16,16,2,Read events + write output,51.24127,99.99,run_20260717_215056
16,16,2,Other (overhead),0.001231,0.0,run_20260717_215056
16,16,2,Total,51.244886,100.0,run_20260717_215056
16,16,3,Read global definitions,0.002019,0.0,run_20260717_215056
16,16,3,Build group/location map,0.000382,0.0,run_20260717_215056
16,16,3,Distribute groups,0.000987,0.0,run_20260717_215056
16,16,3,Read events + write output,51.909067,99.99,run_20260717_215056
16,16,3,Other (overhead),0.001249,0.0,run_20260717_215056
16,16,3,Total,51.912717,100.0,run_20260717_215056
16,16,4,Read global definitions,0.001968,0.0,run_20260717_215056
16,16,4,Build group/location map,0.000371,0.0,run_20260717_215056
16,16,4,Distribute groups,0.000969,0.0,run_20260717_215056
16,16,4,Read events + write output,51.351701,99.99,run_20260717_215056
16,16,4,Other (overhead),0.001219,0.0,run_20260717_215056
16,16,4,Total,51.355259,100.0,run_20260717_215056
16,16,5,Read global definitions,0.002232,0.0,run_20260717_215056
16,16,5,Build group/location map,0.000353,0.0,run_20260717_215056
16,16,5,Distribute groups,0.000992,0.0,run_20260717_215056
16,16,5,Read events + write output,51.830843,99.99,run_20260717_215056
16,16,5,Other (overhead),0.001237,0.0,run_20260717_215056
16,16,5,Total,51.834665,100.0,run_20260717_215056
16,1,1,Read global definitions,0.003969,0.0,run_20260717_215056
16,1,1,Build group/location map,0.000359,0.0,run_20260717_215056
16,1,1,Distribute groups,0.000144,0.0,run_20260717_215056
16,1,1,Read events + write output,92.355969,99.99,run_20260717_215056
16,1,1,Other (overhead),0.000821,0.0,run_20260717_215056
16,1,1,Total,92.361118,100.0,run_20260717_215056
16,1,2,Read global definitions,0.003675,0.0,run_20260717_215056
16,1,2,Build group/location map,0.000385,0.0,run_20260717_215056
16,1,2,Distribute groups,0.000143,0.0,run_20260717_215056
16,1,2,Read events + write output,98.243485,100.0,run_20260717_215056
16,1,2,Other (overhead),0.000314,0.0,run_20260717_215056
16,1,2,Total,98.247859,100.0,run_20260717_215056
16,1,3,Read global definitions,0.00375,0.0,run_20260717_215056
16,1,3,Build group/location map,0.000379,0.0,run_20260717_215056
16,1,3,Distribute groups,0.00015,0.0,run_20260717_215056
16,1,3,Read events + write output,95.841617,100.0,run_20260717_215056
16,1,3,Other (overhead),0.000348,0.0,run_20260717_215056
16,1,3,Total,95.846094,100.0,run_20260717_215056
16,1,4,Read global definitions,0.003645,0.0,run_20260717_215056
16,1,4,Build group/location map,0.000364,0.0,run_20260717_215056
16,1,4,Distribute groups,0.000144,0.0,run_20260717_215056
16,1,4,Read events + write output,91.56098,100.0,run_20260717_215056
16,1,4,Other (overhead),0.000324,0.0,run_20260717_215056
16,1,4,Total,91.565313,100.0,run_20260717_215056
16,1,5,Read global definitions,0.004406,0.0,run_20260717_215056
16,1,5,Build group/location map,0.000366,0.0,run_20260717_215056
16,1,5,Distribute groups,0.000147,0.0,run_20260717_215056
16,1,5,Read events + write output,100.96285,99.99,run_20260717_215056
16,1,5,Other (overhead),0.000336,0.0,run_20260717_215056
16,1,5,Total,100.967958,100.0,run_20260717_215056
16,2,1,Read global definitions,0.003196,0.0,run_20260717_215056
16,2,1,Build group/location map,0.000349,0.0,run_20260717_215056
16,2,1,Distribute groups,0.000529,0.0,run_20260717_215056
16,2,1,Read events + write output,81.921212,99.99,run_20260717_215056
16,2,1,Other (overhead),0.000735,0.0,run_20260717_215056
16,2,1,Total,81.925492,100.0,run_20260717_215056
16,2,2,Read global definitions,0.002047,0.0,run_20260717_215056
16,2,2,Build group/location map,0.000349,0.0,run_20260717_215056
16,2,2,Distribute groups,0.000418,0.0,run_20260717_215056
16,2,2,Read events + write output,99.655807,100.0,run_20260717_215056
16,2,2,Other (overhead),0.000696,0.0,run_20260717_215056
16,2,2,Total,99.658899,100.0,run_20260717_215056
16,2,3,Read global definitions,0.001998,0.0,run_20260717_215056
16,2,3,Build group/location map,0.000361,0.0,run_20260717_215056
16,2,3,Distribute groups,0.000403,0.0,run_20260717_215056
16,2,3,Read events + write output,97.637069,100.0,run_20260717_215056
16,2,3,Other (overhead),0.00067,0.0,run_20260717_215056
16,2,3,Total,97.640098,100.0,run_20260717_215056
16,2,4,Read global definitions,0.002019,0.0,run_20260717_215056
16,2,4,Build group/location map,0.000348,0.0,run_20260717_215056
16,2,4,Distribute groups,0.000404,0.0,run_20260717_215056
16,2,4,Read events + write output,102.642949,100.0,run_20260717_215056
16,2,4,Other (overhead),0.000639,0.0,run_20260717_215056
16,2,4,Total,102.645955,100.0,run_20260717_215056
16,2,5,Read global definitions,0.00223,0.0,run_20260717_215056
16,2,5,Build group/location map,0.00035,0.0,run_20260717_215056
16,2,5,Distribute groups,0.00045,0.0,run_20260717_215056
16,2,5,Read events + write output,92.782574,100.0,run_20260717_215056
16,2,5,Other (overhead),0.000696,0.0,run_20260717_215056
16,2,5,Total,92.78585,100.0,run_20260717_215056
16,32,1,Read global definitions,0.002476,0.01,run_20260717_215056
16,32,1,Build group/location map,0.0004,0.0,run_20260717_215056
16,32,1,Distribute groups,0.001471,0.0,run_20260717_215056
16,32,1,Read events + write output,48.199496,99.99,run_20260717_215056
16,32,1,Other (overhead),0.001648,0.0,run_20260717_215056
16,32,1,Total,48.20402,100.0,run_20260717_215056
16,32,2,Read global definitions,0.002011,0.0,run_20260717_215056
16,32,2,Build group/location map,0.000352,0.0,run_20260717_215056
16,32,2,Distribute groups,0.001472,0.0,run_20260717_215056
16,32,2,Read events + write output,45.6771,99.99,run_20260717_215056
