traced_nodes,nl,trial,Task,Locale,Locations,Events,Open (s),Setup (s),EnterCB (s),LeaveCB (s),MetricCB (s),libOTF2 (s),WriteCG (s),WriteMet (s),Total (s)
384,128,1,20,1,5,28888685,0.001481,0.025387,20.255238,18.857769,0.00016,11.020361,211.283998,7.15858,268.602999
384,128,1,21,1,5,28803437,0.00159,0.013824,12.798475,12.130383,0.000129,7.585774,236.317186,8.959351,277.806733
384,128,1,22,1,5,28976040,0.001543,0.014314,13.031719,12.339625,0.000135,6.849948,228.292711,12.394476,272.924499
384,128,1,23,1,5,28834454,0.00154,0.01289,15.39025,14.791495,0.000141,6.907448,236.473217,8.544257,282.121265
384,128,1,0,2,5,29015594,0.002191,0.13511,12.786102,12.00139,0.000134,6.942732,227.564798,7.451147,266.883635
384,128,1,1,2,5,29083517,0.002198,0.138793,14.456125,13.890684,0.000144,7.060466,235.015756,8.324788,278.88898
384,128,1,2,2,5,29188451,0.002291,0.131155,12.868778,12.177594,0.000135,7.559635,200.003909,17.67337,250.416894
384,128,1,3,2,5,29192906,0.002194,0.135451,12.844907,12.039925,0.000136,7.424958,242.034484,6.230251,280.712334
384,128,1,4,2,5,28803117,0.002119,0.201184,12.599749,11.975013,0.000143,9.750837,229.200139,13.907517,277.63673
384,128,1,5,2,5,28798453,0.002221,0.143556,13.181081,12.655049,0.000135,7.398769,229.313252,12.744807,275.438904
384,128,1,6,2,5,28849665,0.002201,0.151445,12.521339,11.898198,0.000137,6.59081,213.280471,13.351133,257.795793
384,128,1,7,2,5,29166511,0.002267,0.137834,12.877251,12.071322,0.000133,6.767545,204.868905,6.241236,242.966523
384,128,1,8,2,5,28945507,0.002072,0.138767,12.5147,11.946995,0.000137,6.64825,226.925004,8.975941,267.151899
384,128,1,9,2,5,28863572,0.0022,0.137801,12.527373,11.933898,0.000133,6.823762,253.885675,2.806192,288.117066
384,128,1,10,2,5,28882288,0.002199,0.134677,12.84579,12.165481,0.00014,7.416308,218.33836,8.954746,259.857733
384,128,1,11,2,5,28850919,0.002178,0.179552,12.868521,12.265267,0.000146,9.76535,175.505217,33.281946,243.86821
384,128,1,12,2,5,28842110,0.006107,0.147751,13.525423,12.790378,0.000133,7.213438,215.334784,12.043491,261.061536
384,128,1,13,2,5,28951665,0.068169,0.074571,13.479907,12.657658,0.000139,7.676511,171.189858,3.98451,209.131353
384,128,1,14,2,5,28952431,0.002089,0.143212,14.694955,13.84133,0.000144,7.867749,222.391618,7.251959,266.193091
384,128,1,15,2,5,29090788,0.068561,0.071256,13.094489,12.566761,0.000135,6.70161,242.249248,7.691597,282.44369
384,128,1,16,2,6,28907410,0.002104,0.140894,12.627931,11.926785,0.000134,6.628561,254.503015,1.476907,287.306363
384,128,1,17,2,5,29089732,0.002195,0.136547,21.292964,20.82312,0.000179,13.53637,135.123893,5.19046,196.105763
384,128,1,18,2,5,28871552,0.002169,0.132645,21.847897,20.332433,0.000199,11.527848,198.218765,11.891454,263.95344
384,128,1,19,2,5,28867656,0.002168,0.131752,12.430643,11.782144,0.000136,7.235364,236.50583,11.361168,279.449241
384,128,1,20,2,5,29110212,0.002067,0.134028,13.439185,12.897479,0.000141,7.428204,240.734487,8.671411,283.307037
384,128,1,21,2,5,28958239,0.002086,0.138371,13.826774,13.108869,0.000146,7.807212,237.484476,9.296936,281.664903
384,128,1,22,2,5,28926282,0.002094,0.172601,14.964407,14.012338,0.000148,7.990273,176.196971,37.458121,250.796986
384,128,1,23,2,5,28860838,0.002201,0.134566,12.593316,11.932351,0.000141,6.63593,216.39448,17.041248,264.734265
384,128,1,0,3,5,29191515,0.006064,0.147395,12.779176,12.090994,0.00013,6.573212,221.373407,12.000965,264.971372
384,128,1,1,3,5,28842264,0.006006,0.149056,12.712051,12.113252,0.000138,6.911494,237.486777,13.24075,282.619553
384,128,1,2,3,5,28826468,0.005572,0.146282,12.272067,11.669263,0.000135,7.216607,207.292175,8.597295,247.199426
384,128,1,3,3,5,29223090,0.00613,0.164114,12.784495,12.175454,0.000141,7.220767,245.446962,5.196356,282.994448
384,128,1,4,3,5,29103453,0.005989,0.152415,12.648043,12.002083,0.000133,7.289111,248.8949,4.040022,285.032726
384,128,1,5,3,5,28827951,0.00588,0.137564,12.721135,11.958274,0.000136,7.054372,221.103041,8.948213,261.928643
384,128,1,6,3,48,75372627,0.006022,0.549692,12.696584,12.002026,89.904774,32.434988,106.765367,12.661069,267.020559
384,128,1,7,3,5,29201959,0.006074,0.149984,12.583515,11.99682,0.000135,6.569022,207.128584,9.674158,248.108329
384,128,1,8,3,5,29056195,0.006115,0.14062,12.648724,12.187906,0.000138,6.682049,247.69292,6.928459,286.286964
384,128,1,9,3,5,29215105,0.005976,0.150438,12.492032,11.842328,0.000145,6.974286,234.255756,10.50538,276.226372
384,128,1,10,3,5,28849929,0.005959,0.151224,12.497787,11.827527,0.000144,7.206992,197.605734,5.354934,234.650333
