traced_nodes,nl,trial,phase,time,pctTotal,source_run
128,32,5,Build group/location map,0.00442,0.0,run_20260717_203803_save
128,32,5,Distribute groups,0.003361,0.0,run_20260717_203803_save
128,32,5,Read events + write output,276.051039,99.97,run_20260717_203803_save
128,32,5,Other (overhead),0.004001,0.0,run_20260717_203803_save
128,32,5,Total,276.133064,100.0,run_20260717_203803_save
128,64,1,Read global definitions,0.082779,0.03,run_20260717_203803_save
128,64,1,Build group/location map,0.004451,0.0,run_20260717_203803_save
128,64,1,Distribute groups,0.003547,0.0,run_20260717_203803_save
128,64,1,Read events + write output,239.056351,99.96,run_20260717_203803_save
128,64,1,Other (overhead),0.003805,0.0,run_20260717_203803_save
128,64,1,Total,239.147386,100.0,run_20260717_203803_save
128,64,2,Read global definitions,0.077242,0.03,run_20260717_203803_save
128,64,2,Build group/location map,0.004453,0.0,run_20260717_203803_save
128,64,2,Distribute groups,0.003742,0.0,run_20260717_203803_save
128,64,2,Read events + write output,261.823987,99.97,run_20260717_203803_save
128,64,2,Other (overhead),0.004401,0.0,run_20260717_203803_save
128,64,2,Total,261.910083,100.0,run_20260717_203803_save
128,64,3,Read global definitions,0.067392,0.03,run_20260717_203803_save
128,64,3,Build group/location map,0.00476,0.0,run_20260717_203803_save
128,64,3,Distribute groups,0.003815,0.0,run_20260717_203803_save
128,64,3,Read events + write output,232.060275,99.97,run_20260717_203803_save
128,64,3,Other (overhead),0.004344,0.0,run_20260717_203803_save
128,64,3,Total,232.136771,100.0,run_20260717_203803_save
128,64,4,Read global definitions,0.015175,0.01,run_20260717_203803_save
128,64,4,Build group/location map,0.004482,0.0,run_20260717_203803_save
128,64,4,Distribute groups,0.004247,0.0,run_20260717_203803_save
128,64,4,Read events + write output,231.151235,99.99,run_20260717_203803_save
128,64,4,Other (overhead),0.004481,0.0,run_20260717_203803_save
128,64,4,Total,231.175373,100.0,run_20260717_203803_save
128,64,5,Read global definitions,0.01507,0.01,run_20260717_203803_save
128,64,5,Build group/location map,0.004472,0.0,run_20260717_203803_save
128,64,5,Distribute groups,0.003571,0.0,run_20260717_203803_save
128,64,5,Read events + write output,262.586326,99.99,run_20260717_203803_save
128,64,5,Other (overhead),0.003815,0.0,run_20260717_203803_save
128,64,5,Total,262.609683,100.0,run_20260717_203803_save
16,16,1,Read global definitions,0.004126,0.01,run_20260717_203803_save
16,16,1,Build group/location map,0.000398,0.0,run_20260717_203803_save
16,16,1,Distribute groups,0.001325,0.0,run_20260717_203803_save
16,16,1,Read events + write output,53.950731,99.99,run_20260717_203803_save
16,16,1,Other (overhead),0.001491,0.0,run_20260717_203803_save
16,16,1,Total,53.956746,100.0,run_20260717_203803_save
16,16,2,Read global definitions,0.002033,0.0,run_20260717_203803_save
16,16,2,Build group/location map,0.000338,0.0,run_20260717_203803_save
16,16,2,Distribute groups,0.000778,0.0,run_20260717_203803_save
16,16,2,Read events + write output,52.95494,99.99,run_20260717_203803_save
16,16,2,Other (overhead),0.000981,0.0,run_20260717_203803_save
16,16,2,Total,52.958292,100.0,run_20260717_203803_save
16,16,3,Read global definitions,0.001975,0.0,run_20260717_203803_save
16,16,3,Build group/location map,0.000341,0.0,run_20260717_203803_save
16,16,3,Distribute groups,0.000813,0.0,run_20260717_203803_save
16,16,3,Read events + write output,53.434081,99.99,run_20260717_203803_save
16,16,3,Other (overhead),0.001002,0.0,run_20260717_203803_save
16,16,3,Total,53.437399,100.0,run_20260717_203803_save
16,16,4,Read global definitions,0.004256,0.01,run_20260717_203803_save
16,16,4,Build group/location map,0.000344,0.0,run_20260717_203803_save
16,16,4,Distribute groups,0.001248,0.0,run_20260717_203803_save
16,16,4,Read events + write output,52.671907,99.99,run_20260717_203803_save
16,16,4,Other (overhead),0.00142,0.0,run_20260717_203803_save
16,16,4,Total,52.677927,100.0,run_20260717_203803_save
16,16,5,Read global definitions,0.003596,0.01,run_20260717_203803_save
16,16,5,Build group/location map,0.000349,0.0,run_20260717_203803_save
16,16,5,Distribute groups,0.001379,0.0,run_20260717_203803_save
16,16,5,Read events + write output,54.007338,99.99,run_20260717_203803_save
16,16,5,Other (overhead),0.001573,0.0,run_20260717_203803_save
16,16,5,Total,54.012856,100.0,run_20260717_203803_save
16,1,1,Read global definitions,0.025463,0.02,run_20260717_203803_save
16,1,1,Build group/location map,0.00035,0.0,run_20260717_203803_save
16,1,1,Distribute groups,0.000167,0.0,run_20260717_203803_save
16,1,1,Read events + write output,112.443326,99.98,run_20260717_203803_save
16,1,1,Other (overhead),0.000366,0.0,run_20260717_203803_save
16,1,1,Total,112.469505,100.0,run_20260717_203803_save
16,1,2,Read global definitions,0.003298,0.0,run_20260717_203803_save
16,1,2,Build group/location map,0.000346,0.0,run_20260717_203803_save
16,1,2,Distribute groups,0.00013,0.0,run_20260717_203803_save
16,1,2,Read events + write output,103.35046,99.99,run_20260717_203803_save
16,1,2,Other (overhead),0.002077,0.0,run_20260717_203803_save
16,1,2,Total,103.356181,100.0,run_20260717_203803_save
16,1,3,Read global definitions,0.003727,0.0,run_20260717_203803_save
16,1,3,Build group/location map,0.000343,0.0,run_20260717_203803_save
16,1,3,Distribute groups,0.00013,0.0,run_20260717_203803_save
16,1,3,Read events + write output,108.795496,99.99,run_20260717_203803_save
16,1,3,Other (overhead),0.001636,0.0,run_20260717_203803_save
16,1,3,Total,108.801202,100.0,run_20260717_203803_save
16,1,4,Read global definitions,0.001977,0.0,run_20260717_203803_save
16,1,4,Build group/location map,0.000336,0.0,run_20260717_203803_save
16,1,4,Distribute groups,0.00014,0.0,run_20260717_203803_save
16,1,4,Read events + write output,105.309919,100.0,run_20260717_203803_save
16,1,4,Other (overhead),0.000332,0.0,run_20260717_203803_save
16,1,4,Total,105.312564,100.0,run_20260717_203803_save
16,1,5,Read global definitions,0.002242,0.0,run_20260717_203803_save
16,1,5,Build group/location map,0.000393,0.0,run_20260717_203803_save
16,1,5,Distribute groups,0.000133,0.0,run_20260717_203803_save
16,1,5,Read events + write output,107.280199,99.99,run_20260717_203803_save
16,1,5,Other (overhead),0.002739,0.0,run_20260717_203803_save
16,1,5,Total,107.285573,100.0,run_20260717_203803_save
16,2,1,Read global definitions,0.004461,0.0,run_20260717_203803_save
16,2,1,Build group/location map,0.000354,0.0,run_20260717_203803_save
16,2,1,Distribute groups,0.000568,0.0,run_20260717_203803_save
16,2,1,Read events + write output,118.055008,100.0,run_20260717_203803_save
16,2,1,Other (overhead),0.000743,0.0,run_20260717_203803_save
16,2,1,Total,118.060566,100.0,run_20260717_203803_save
16,2,2,Read global definitions,0.004509,0.0,run_20260717_203803_save
16,2,2,Build group/location map,0.000345,0.0,run_20260717_203803_save
16,2,2,Distribute groups,0.000598,0.0,run_20260717_203803_save
16,2,2,Read events + write output,111.378278,99.99,run_20260717_203803_save
16,2,2,Other (overhead),0.000773,0.0,run_20260717_203803_save
16,2,2,Total,111.383905,100.0,run_20260717_203803_save
16,2,3,Read global definitions,0.004522,0.0,run_20260717_203803_save
16,2,3,Build group/location map,0.00035,0.0,run_20260717_203803_save
16,2,3,Distribute groups,0.000571,0.0,run_20260717_203803_save
16,2,3,Read events + write output,112.579037,99.99,run_20260717_203803_save
16,2,3,Other (overhead),0.000769,0.0,run_20260717_203803_save
16,2,3,Total,112.584678,100.0,run_20260717_203803_save
16,2,4,Read global definitions,0.004109,0.0,run_20260717_203803_save
16,2,4,Build group/location map,0.000354,0.0,run_20260717_203803_save
16,2,4,Distribute groups,0.000537,0.0,run_20260717_203803_save
16,2,4,Read events + write output,110.417422,100.0,run_20260717_203803_save
16,2,4,Other (overhead),0.000719,0.0,run_20260717_203803_save
16,2,4,Total,110.422604,100.0,run_20260717_203803_save
16,2,5,Read global definitions,0.003961,0.0,run_20260717_203803_save
16,2,5,Build group/location map,0.000366,0.0,run_20260717_203803_save
16,2,5,Distribute groups,0.000546,0.0,run_20260717_203803_save
16,2,5,Read events + write output,116.428434,100.0,run_20260717_203803_save
16,2,5,Other (overhead),0.000725,0.0,run_20260717_203803_save
16,2,5,Total,116.433486,100.0,run_20260717_203803_save
16,32,1,Read global definitions,0.004072,0.01,run_20260717_203803_save
16,32,1,Build group/location map,0.000337,0.0,run_20260717_203803_save
16,32,1,Distribute groups,0.002515,0.01,run_20260717_203803_save
16,32,1,Read events + write output,44.475677,99.98,run_20260717_203803_save
16,32,1,Other (overhead),0.002693,0.01,run_20260717_203803_save
16,32,1,Total,44.482779,100.0,run_20260717_203803_save
16,32,2,Read global definitions,0.001987,0.0,run_20260717_203803_save
16,32,2,Build group/location map,0.000338,0.0,run_20260717_203803_save
16,32,2,Distribute groups,0.004049,0.01,run_20260717_203803_save
16,32,2,Read events + write output,44.434241,99.99,run_20260717_203803_save
16,32,2,Other (overhead),0.004237,0.01,run_20260717_203803_save
16,32,2,Total,44.440803,100.0,run_20260717_203803_save
16,32,3,Read global definitions,0.001981,0.0,run_20260717_203803_save
16,32,3,Build group/location map,0.000358,0.0,run_20260717_203803_save
16,32,3,Distribute groups,0.008356,0.02,run_20260717_203803_save
16,32,3,Read events + write output,44.4635,99.98,run_20260717_203803_save
16,32,3,Other (overhead),0.008533,0.02,run_20260717_203803_save
16,32,3,Total,44.474372,100.0,run_20260717_203803_save
16,32,4,Read global definitions,0.002118,0.0,run_20260717_203803_save
16,32,4,Build group/location map,0.000342,0.0,run_20260717_203803_save
16,32,4,Distribute groups,0.001146,0.0,run_20260717_203803_save
16,32,4,Read events + write output,45.434406,99.99,run_20260717_203803_save
16,32,4,Other (overhead),0.001329,0.0,run_20260717_203803_save
16,32,4,Total,45.438195,100.0,run_20260717_203803_save
16,32,5,Read global definitions,0.002167,0.0,run_20260717_203803_save
16,32,5,Build group/location map,0.000341,0.0,run_20260717_203803_save
16,32,5,Distribute groups,0.006894,0.02,run_20260717_203803_save
16,32,5,Read events + write output,44.255962,99.98,run_20260717_203803_save
16,32,5,Other (overhead),0.007082,0.02,run_20260717_203803_save
16,32,5,Total,44.265552,100.0,run_20260717_203803_save
16,4,1,Read global definitions,0.004385,0.01,run_20260717_203803_save
16,4,1,Build group/location map,0.000503,0.0,run_20260717_203803_save
16,4,1,Distribute groups,0.000701,0.0,run_20260717_203803_save
16,4,1,Read events + write output,76.125312,99.99,run_20260717_203803_save
16,4,1,Other (overhead),0.000911,0.0,run_20260717_203803_save
16,4,1,Total,76.131111,100.0,run_20260717_203803_save
16,4,2,Read global definitions,0.004218,0.01,run_20260717_203803_save
16,4,2,Build group/location map,0.000341,0.0,run_20260717_203803_save
16,4,2,Distribute groups,0.000976,0.0,run_20260717_203803_save
16,4,2,Read events + write output,76.597572,99.99,run_20260717_203803_save
16,4,2,Other (overhead),0.001147,0.0,run_20260717_203803_save
16,4,2,Total,76.603278,100.0,run_20260717_203803_save
16,4,3,Read global definitions,0.002126,0.0,run_20260717_203803_save
16,4,3,Build group/location map,0.00039,0.0,run_20260717_203803_save
16,4,3,Distribute groups,0.00062,0.0,run_20260717_203803_save
16,4,3,Read events + write output,72.510468,100.0,run_20260717_203803_save
16,4,3,Other (overhead),0.000814,0.0,run_20260717_203803_save
16,4,3,Total,72.513798,100.0,run_20260717_203803_save
16,4,4,Read global definitions,0.002036,0.0,run_20260717_203803_save
16,4,4,Build group/location map,0.000345,0.0,run_20260717_203803_save
16,4,4,Distribute groups,0.000506,0.0,run_20260717_203803_save
16,4,4,Read events + write output,74.183818,100.0,run_20260717_203803_save
16,4,4,Other (overhead),0.000702,0.0,run_20260717_203803_save
16,4,4,Total,74.186901,100.0,run_20260717_203803_save
16,4,5,Read global definitions,0.010106,0.01,run_20260717_203803_save
16,4,5,Build group/location map,0.000337,0.0,run_20260717_203803_save
16,4,5,Distribute groups,0.00079,0.0,run_20260717_203803_save
16,4,5,Read events + write output,76.496385,99.99,run_20260717_203803_save
16,4,5,Other (overhead),0.000978,0.0,run_20260717_203803_save
16,4,5,Total,76.507806,100.0,run_20260717_203803_save
16,8,1,Read global definitions,0.004162,0.01,run_20260717_203803_save
16,8,1,Build group/location map,0.000345,0.0,run_20260717_203803_save
16,8,1,Distribute groups,0.001296,0.0,run_20260717_203803_save
16,8,1,Read events + write output,58.234948,99.99,run_20260717_203803_save
16,8,1,Other (overhead),0.001468,0.0,run_20260717_203803_save
16,8,1,Total,58.240923,100.0,run_20260717_203803_save
16,8,2,Read global definitions,0.002027,0.0,run_20260717_203803_save
16,8,2,Build group/location map,0.000341,0.0,run_20260717_203803_save
16,8,2,Distribute groups,0.000639,0.0,run_20260717_203803_save
16,8,2,Read events + write output,58.208415,99.99,run_20260717_203803_save
16,8,2,Other (overhead),0.000838,0.0,run_20260717_203803_save
16,8,2,Total,58.211621,100.0,run_20260717_203803_save
16,8,3,Read global definitions,0.001999,0.0,run_20260717_203803_save
16,8,3,Build group/location map,0.000338,0.0,run_20260717_203803_save
16,8,3,Distribute groups,0.000726,0.0,run_20260717_203803_save
16,8,3,Read events + write output,55.432723,99.99,run_20260717_203803_save
16,8,3,Other (overhead),0.00092,0.0,run_20260717_203803_save
16,8,3,Total,55.43598,100.0,run_20260717_203803_save
16,8,4,Read global definitions,0.003652,0.01,run_20260717_203803_save
16,8,4,Build group/location map,0.000345,0.0,run_20260717_203803_save
16,8,4,Distribute groups,0.000725,0.0,run_20260717_203803_save
16,8,4,Read events + write output,56.379641,99.99,run_20260717_203803_save
16,8,4,Other (overhead),0.000929,0.0,run_20260717_203803_save
16,8,4,Total,56.384567,100.0,run_20260717_203803_save
16,8,5,Read global definitions,0.004117,0.01,run_20260717_203803_save
16,8,5,Build group/location map,0.000343,0.0,run_20260717_203803_save
16,8,5,Distribute groups,0.000722,0.0,run_20260717_203803_save
16,8,5,Read events + write output,56.239691,99.99,run_20260717_203803_save
16,8,5,Other (overhead),0.000906,0.0,run_20260717_203803_save
16,8,5,Total,56.245057,100.0,run_20260717_203803_save
32,16,1,Read global definitions,0.004502,0.0,run_20260717_203803_save
32,16,1,Build group/location map,0.00069,0.0,run_20260717_203803_save
32,16,1,Distribute groups,0.002021,0.0,run_20260717_203803_save
32,16,1,Read events + write output,94.601868,99.99,run_20260717_203803_save
32,16,1,Other (overhead),0.00219,0.0,run_20260717_203803_save
32,16,1,Total,94.60925,100.0,run_20260717_203803_save
32,16,2,Read global definitions,0.00493,0.01,run_20260717_203803_save
32,16,2,Build group/location map,0.00069,0.0,run_20260717_203803_save
32,16,2,Distribute groups,0.001886,0.0,run_20260717_203803_save
32,16,2,Read events + write output,91.208635,99.99,run_20260717_203803_save
32,16,2,Other (overhead),0.002039,0.0,run_20260717_203803_save
32,16,2,Total,91.216294,100.0,run_20260717_203803_save
32,16,3,Read global definitions,0.002675,0.0,run_20260717_203803_save
32,16,3,Build group/location map,0.000751,0.0,run_20260717_203803_save
32,16,3,Distribute groups,0.00092,0.0,run_20260717_203803_save
32,16,3,Read events + write output,94.085862,100.0,run_20260717_203803_save
32,16,3,Other (overhead),0.001118,0.0,run_20260717_203803_save
32,16,3,Total,94.090406,100.0,run_20260717_203803_save
32,16,4,Read global definitions,0.004607,0.01,run_20260717_203803_save
32,16,4,Build group/location map,0.000682,0.0,run_20260717_203803_save
32,16,4,Distribute groups,0.002005,0.0,run_20260717_203803_save
32,16,4,Read events + write output,92.088073,99.99,run_20260717_203803_save
32,16,4,Other (overhead),0.002188,0.0,run_20260717_203803_save
32,16,4,Total,92.09555,100.0,run_20260717_203803_save
32,16,5,Read global definitions,0.0048,0.0,run_20260717_203803_save
32,16,5,Build group/location map,0.000691,0.0,run_20260717_203803_save
32,16,5,Distribute groups,0.001662,0.0,run_20260717_203803_save
32,16,5,Read events + write output,106.257275,99.99,run_20260717_203803_save
32,16,5,Other (overhead),0.001854,0.0,run_20260717_203803_save
32,16,5,Total,106.26462,100.0,run_20260717_203803_save
32,1,1,Read global definitions,0.013517,0.0,run_20260717_203803_save
32,1,1,Build group/location map,0.000679,0.0,run_20260717_203803_save
32,1,1,Distribute groups,0.000258,0.0,run_20260717_203803_save
32,1,1,Read events + write output,297.563148,100.0,run_20260717_203803_save
32,1,1,Other (overhead),0.000455,0.0,run_20260717_203803_save
32,1,1,Total,297.577799,100.0,run_20260717_203803_save
32,1,2,Read global definitions,0.004716,0.0,run_20260717_203803_save
32,1,2,Build group/location map,0.000769,0.0,run_20260717_203803_save
32,1,2,Distribute groups,0.000267,0.0,run_20260717_203803_save
32,1,2,Read events + write output,290.09371,100.0,run_20260717_203803_save
32,1,2,Other (overhead),0.000456,0.0,run_20260717_203803_save
32,1,2,Total,290.099651,100.0,run_20260717_203803_save
32,1,3,Read global definitions,0.004692,0.0,run_20260717_203803_save
32,1,3,Build group/location map,0.000689,0.0,run_20260717_203803_save
32,1,3,Distribute groups,0.000227,0.0,run_20260717_203803_save
32,1,3,Read events + write output,292.759828,100.0,run_20260717_203803_save
32,1,3,Other (overhead),0.000404,0.0,run_20260717_203803_save
32,1,3,Total,292.765613,100.0,run_20260717_203803_save
32,1,4,Read global definitions,0.004669,0.0,run_20260717_203803_save
32,1,4,Build group/location map,0.000722,0.0,run_20260717_203803_save
32,1,4,Distribute groups,0.00026,0.0,run_20260717_203803_save
32,1,4,Read events + write output,290.217792,100.0,run_20260717_203803_save
32,1,4,Other (overhead),0.000457,0.0,run_20260717_203803_save
32,1,4,Total,290.22364,100.0,run_20260717_203803_save
32,1,5,Read global definitions,0.004501,0.0,run_20260717_203803_save
32,1,5,Build group/location map,0.000699,0.0,run_20260717_203803_save
32,1,5,Distribute groups,0.00025,0.0,run_20260717_203803_save
32,1,5,Read events + write output,285.876723,100.0,run_20260717_203803_save
32,1,5,Other (overhead),0.000423,0.0,run_20260717_203803_save
32,1,5,Total,285.882346,100.0,run_20260717_203803_save
32,2,1,Read global definitions,0.004813,0.0,run_20260717_203803_save
32,2,1,Build group/location map,0.000689,0.0,run_20260717_203803_save
32,2,1,Distribute groups,0.000702,0.0,run_20260717_203803_save
32,2,1,Read events + write output,267.112909,100.0,run_20260717_203803_save
32,2,1,Other (overhead),0.000883,0.0,run_20260717_203803_save
32,2,1,Total,267.119294,100.0,run_20260717_203803_save
32,2,2,Read global definitions,0.004642,0.0,run_20260717_203803_save
32,2,2,Build group/location map,0.000784,0.0,run_20260717_203803_save
32,2,2,Distribute groups,0.000826,0.0,run_20260717_203803_save
32,2,2,Read events + write output,278.696837,100.0,run_20260717_203803_save
