traced_nodes,nl,trial,timestamp,strategy,numLocales,tracePath,totalTime,throughput,source_run
4,1,3,2026-07-14T05-20-19.388784,locgroup_dist_block,1,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,33.821836,4266622,run_20260714_043638_save
4,1,4,2026-07-14T05-20-58.607849,locgroup_dist_block,1,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,31.938369,4518233,run_20260714_043638_save
4,1,5,2026-07-14T05-21-39.185273,locgroup_dist_block,1,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,33.222024,4343654,run_20260714_043638_save
4,2,1,2026-07-14T05-25-49.621369,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,29.27545,4929215,run_20260714_043638_save
4,2,2,2026-07-14T05-27-00.739248,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,30.424812,4743004,run_20260714_043638_save
4,2,3,2026-07-14T05-28-06.582458,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,27.165515,5312065,run_20260714_043638_save
4,2,4,2026-07-14T05-29-16.259634,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,28.792263,5011936,run_20260714_043638_save
4,2,5,2026-07-14T05-30-25.455027,locgroup_dist_block,2,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,30.071125,4798789,run_20260714_043638_save
4,4,1,2026-07-14T05-37-13.646672,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,33.236124,4341812,run_20260714_043638_save
4,4,2,2026-07-14T05-38-25.281281,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,31.635165,4561537,run_20260714_043638_save
4,4,3,2026-07-14T05-39-39.288894,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,33.764244,4273900,run_20260714_043638_save
4,4,4,2026-07-14T05-40-55.292139,locgroup_dist_block,4,/lus/bnchlu1/adt/otf2-traces/frontier/frontier-4-node-single-HPL-run/traces.otf2,33.825048,4266217,run_20260714_043638_save
